1a0r_B	48-170;219-340	0.82513;0.82513	TP	
1a0t_P	No repeats found			
1a0t_Q	No repeats found			
1a12_A	17-182;247-409	0.76839;0.76839	TP	
1a12_B	17-182;247-409	0.77059;0.77059	TP	
1a12_C	17-182;247-409	0.76953;0.76953	TP	
1a17_A	No repeats found			
1a18_A	No repeats found			
1a1f_A	1-27;59-83	;		
1a1g_A	1-27;59-83	;		
1a1h_A	1-27;59-83	;		
1a1i_A	1-27;59-83	;		
1a1j_A	1-27;59-83	;		
1a1k_A	1-27;59-83	;		
1a1l_A	1-27;59-83	;		
1a2n_A	2-183;211-390	0.79023;0.79023	TP	
1a4y_A	3-229;227-457	0.92685;0.92685	TP	
1a4y_D	3-229;227-457	0.92674;0.92674	TP	
1a9n_C	63-98;87-123	0.70559;0.70559	TP	
1ala_A	20-156;175-315	0.85053;0.85053	TP	
1anx_B	13-155;165-314	0.91771;0.91771	TP	
1aof_A	169-234;312-378	0.75612;0.75612	TP	
1aof_B	169-234;312-378	0.75191;0.75191	TP	
1aom_A	169-234;312-378	0.74692;0.74692	TP	
1aom_B	169-234;312-378	0.74869;0.74869	TP	
1aoq_B	169-234;312-378	0.74743;0.74743	TP	
1ap7_A	No repeats found			
1avu_A	No repeats found			
1avw_B	No repeats found			
1aw1_E	No repeats found			
1aw1_G	No repeats found			
1aw1_J	No repeats found			
1aw1_K	No repeats found			
1aw2_E	No repeats found			
1aw2_K	No repeats found			
1awc_B	No repeats found			
1b3u_A	12-226;365-581	0.75460;0.75460	TP	
1b3u_B	12-226;365-581	0.77166;0.77166	TP	
1b5t_A	No repeats found			
1b5t_B	No repeats found			
1b5t_C	No repeats found			
1b89_A	15-133;160-283	;		
1b9t_A	54-163;276-379	0.36460;0.36460		
1b9x_A	48-170;219-340	0.82826;0.82826	TP	
1b9y_A	48-170;219-340	0.82678;0.82678	TP	
1ba7_A	No repeats found			
1bcw_A	18-160;173-319	0.91153;0.91153	TP	
1bd8_A	46-90;112-155	0.68489;0.68489	TP	
1bhe_A	No repeats found			
1bi7_B	19-63;85-130	0.77183;0.77183	TP	
1bi8_B	52-96;118-161	0.71882;0.71882	TP	
1bi8_D	52-96;118-161	0.71883;0.71883	TP	
1bih_B	7-162;213-371	0.53762;0.53762	TP	
1bk5_A	36-156;247-369	0.83096;0.83096	TP	
1bk5_B	36-156;247-369	0.81934;0.81934	TP	
1bk6_A	36-156;247-369	0.80403;0.80403	TP	
1bk6_B	36-156;247-369	0.80340;0.80340	TP	
1bks_A	No repeats found			
1blx_B	No repeats found			
1bn8_A	No repeats found			
1bqc_A	No repeats found			
1bu9_A	9-62;74-128	0.96899;0.96899	TP	
1bwy_A	No repeats found			
1c1z_A	4-53;186-235	0.68293;0.68293	TP	
1c5k_A	180-298;313-429	0.80307;0.80307	TP	
1c9i_A	No repeats found			
1c9i_B	No repeats found			
1c9l_A	No repeats found			
1c9l_B	No repeats found			
1crz_A	152-270;285-401	0.77640;0.77640	TP	
1cvm_A	25-165;197-321	0.70626;0.70626	TP	
1cwv_A	22-208;219-402	;		
1czf_A	230-279;297-346	0.58602;0.58602	TP	
1czf_B	230-279;297-346	0.58496;0.58496	TP	
1d0b_A	25-114;113-202	0.52225;0.52225	TP	
1d2p_A	1-186;188-373	;		
1d8d_A	52-123;155-231	;		
1d8e_A	106-177;209-285	0.81881;0.81881	TP	
1dab_A	227-246;237-256	0.50000;0.50000	TP	
1dbg_A	16-78;415-472	;		
1dcq_A	No repeats found			
1dfj_I	3-226;227-454	0.89946;0.89946	TP	
1dl3_A	No repeats found			
1dl3_B	No repeats found			
1dlg_A	2-205;211-413	0.79102;0.79102	TP	
1dlg_B	2-205;211-413	0.79048;0.79048	TP	
1dm5_B	7-153;162-312	0.85735;0.85735	TP	
1dm5_F	7-153;162-312	0.87033;0.87033	TP	
1dvj_A	No repeats found			
1dvj_B	No repeats found			
1dvj_C	No repeats found			
1dvj_D	No repeats found			
1dx5_K	No repeats found			
1dy7_A	169-234;312-378	0.75402;0.75402	TP	
1e1a_A	17-62;116-157	0.47834;0.47834		
1e8n_A	No repeats found			
1ee4_A	38-158;249-371	0.82346;0.82346	TP	
1ee4_B	38-158;249-371	0.82054;0.82054	TP	
1ee5_A	38-158;249-371	0.81172;0.81172	TP	
1ee6_A	No repeats found			
1eix_C	2-57;129-184	0.38637;0.38637		
1ejc_A	2-205;211-413	0.78679;0.78679	TP	
1ejd_A	2-205;211-413	0.78875;0.78875	TP	
1ejd_B	2-205;211-413	0.79001;0.79001	TP	
1ejl_I	9-148;226-364	0.80283;0.80283	TP	
1ejy_I	9-148;226-364	0.80135;0.80135	TP	
1elk_A	62-78;92-108	0.30553;0.30553		
1elw_A	No repeats found			
1erj_A	49-195;241-388	;		
1erj_B	49-195;241-388	;		
1erj_C	49-195;241-388	;		
1eua_A	No repeats found			
1eua_B	No repeats found			
1eua_C	No repeats found			
1eun_A	No repeats found			
1eun_B	No repeats found			
1eun_C	No repeats found			
1eww_A	No repeats found			
1eyn_A	2-205;211-413	0.77469;0.77469	TP	
1f6p_A	28-89;183-245	0.36717;0.36717		
1f73_D	28-89;183-245	0.36908;0.36908		
1f9c_A	122-172;225-276	0.43810;0.43810		
1fbl_A	46-153;181-286	;		
1fch_A	78-153;231-306	;		
1fch_B	78-153;231-306	;		
1fdz_B	No repeats found			
1fj1_E	No repeats found			
1fj1_F	No repeats found			
1fn0_A	No repeats found			
1fnf_A	2-175;186-355	;		
1fnh_A	2-84;183-265	0.88173;0.88173	TP	
1fpp_A	106-177;209-285	0.80530;0.80530	TP	
1fq0_A	No repeats found			
1fq0_B	No repeats found			
1fqv_A	98-180;179-259	0.45033;0.45033		
1fqv_C	98-180;179-259	0.45058;0.45058		
1fqv_E	98-180;179-259	0.45127;0.45127		
1fqv_G	98-180;179-259	0.44988;0.44988		
1fqv_I	98-180;179-259	0.45049;0.45049		
1fqv_K	98-180;179-259	0.45178;0.45178		
1fqv_M	98-180;179-259	0.45102;0.45102		
1fqv_O	98-180;179-259	0.45121;0.45121		
1fs2_A	52-142;132-221	0.35776;0.35776		
1fs2_C	52-142;132-221	0.36034;0.36034		
1ft1_A	106-177;209-285	0.82808;0.82808	TP	
1ft2_A	52-123;155-231	;		
1ft4_A	No repeats found			
1fwr_A	No repeats found			
1fwr_B	No repeats found			
1fwr_C	No repeats found			
1fxj_B	No repeats found			
1g3j_A	3-158;335-516	;		
1g3j_C	3-158;335-516	;		
1g3n_B	9-62;74-128	0.74583;0.74583	TP	
1g3n_F	9-62;74-128	0.74617;0.74617	TP	
1g4e_B	No repeats found			
1g4p_A	No repeats found			
1g4p_B	No repeats found			
1g4s_A	No repeats found			
1g4t_B	No repeats found			
1g61_A	14-120;106-209	;		
1g61_B	14-120;106-209	;		
1g62_A	45-120;134-209	0.77365;0.77365	TP	
1g6c_A	No repeats found			
1g6s_A	14-142;160-289	0.47949;0.47949		
1g6t_A	14-142;160-289	0.48108;0.48108		
1g9u_A	76-220;282-421	0.94387;0.94387	TP	
1gcj_A	113-197;352-431	0.64810;0.64810	TP	
1gcj_B	113-197;352-431	0.64619;0.64619	TP	
1geq_A	No repeats found			
1geq_B	No repeats found			
1gfn_A	15-110;144-233	0.53765;0.53765	TP	
1gg2_B	48-170;219-340	0.87322;0.87322	TP	
1gh7_A	1-214;217-419	0.51858;0.51858	TP	
1gh7_B	1-214;217-419	0.49341;0.49341		
1go8_P	No repeats found			
1got_B	48-170;219-340	0.88910;0.88910	TP	
1gp2_B	48-170;219-340	0.87423;0.87423	TP	
1gq1_A	169-234;312-378	0.74891;0.74891	TP	
1gq8_A	No repeats found			
1gvm_A	14-56;76-120	;		
1gvm_B	14-56;76-120	;		
1gvm_C	14-56;76-120	;		
1gvm_D	14-56;76-120	;		
1gvm_E	14-56;76-120	;		
1gvm_F	14-56;76-120	;		
1gwb_A	37-94;130-189	0.71303;0.71303	TP	
1gwb_B	37-94;130-189	0.73293;0.73293	TP	
1gxr_A	67-106;182-218	;		
1gxr_B	67-106;182-218	;		
1gye_B	2-22;186-206	;		
1gyh_B	2-24;186-208	;		
1gyh_D	2-24;186-208	;		
1gyh_F	2-24;186-208	;		
1gzj_A	No repeats found			
1gzj_B	No repeats found			
1h11_A	80-124;208-254	0.49232;0.49232		
1h1n_A	No repeats found			
1h1n_B	No repeats found			
1h1y_B	No repeats found			
1h1z_B	No repeats found			
1h2j_A	80-124;208-254	0.50081;0.50081	TP	
1h2x_A	No repeats found			
1h2z_A	No repeats found			
1h4i_A	131-232;453-542	0.58959;0.58959	TP	
1h4i_C	131-232;453-542	0.58914;0.58914	TP	
1h4j_C	131-232;453-542	0.58808;0.58808	TP	
1h4j_E	131-232;453-542	0.58809;0.58809	TP	
1h4j_G	131-232;453-542	0.58809;0.58809	TP	
1h5v_A	80-124;208-254	0.49349;0.49349		
1h6l_A	25-165;197-321	0.70388;0.70388	TP	
1h6t_A	31-97;141-207	;		
1h6u_A	9-99;141-231	;		
1h80_B	No repeats found			
1h88_C	6-52;110-155	;		
1h8g_A	4-34;44-78	;		
1h8g_B	4-34;44-78	;		
1h9x_B	169-234;312-378	0.74268;0.74268	TP	
1h9y_A	169-234;312-378	0.74056;0.74056	TP	
1hak_A	14-156;166-315	0.84548;0.84548	TP	
1hcm_B	169-234;312-378	0.74020;0.74020	TP	
1hcx_A	5-47;67-111	;		
1hcx_B	5-47;67-111	;		
1hf2_B	No repeats found			
