1a0r_B	No repeats found			
1a0t_P	No repeats found			
1a0t_Q	No repeats found			
1a12_A	No repeats found			
1a12_B	No repeats found			
1a12_C	No repeats found			
1a17_A	27-58;59-92;93-126	0.92243;0.92243;0.78463	TP	
1a18_A	No repeats found			
1a1f_A	No repeats found			
1a1g_A	No repeats found			
1a1h_A	No repeats found			
1a1i_A	No repeats found			
1a1j_A	No repeats found			
1a1k_A	No repeats found			
1a1l_A	No repeats found			
1a2n_A	No repeats found			
1a4y_A	No repeats found			
1a4y_D	No repeats found			
1a9n_C	120-146;147-163;26-48;49-70;71-94;95-119	0.40136;0.40136;0.36179;0.44456;0.46425;0.46425		
1ala_A	124-170;16-51;171-207;208-246;247-282;52-87;88-123	0.88845;0.85559;0.68939;0.63703;0.84054;0.88845;0.85559	TP	
1anx_B	No repeats found			
1aof_A	No repeats found			
1aof_B	No repeats found			
1aom_A	No repeats found			
1aom_B	No repeats found			
1aoq_B	No repeats found			
1ap7_A	102-133;134-166;37-67;68-101;7-36	0.95947;0.94974;0.93999;0.95947;0.90320	TP	
1avu_A	No repeats found			
1avw_B	No repeats found			
1aw1_E	No repeats found			
1aw1_G	No repeats found			
1aw1_J	No repeats found			
1aw1_K	No repeats found			
1aw2_E	No repeats found			
1aw2_K	No repeats found			
1awc_B	No repeats found			
1b3u_A	116-154;155-196;197-238;275-317;318-359;360-398;439-473;474-514;515-553;554-587;84-115	0.71310;0.77157;0.76229;0.77157;0.75856;0.76229;0.75649;0.75817;0.79708;0.79708;0.79126	TP	
1b3u_B	119-154;155-196;197-240;275-317;318-361;391-438;439-473;474-517;518-550;551-587;87-118	0.75319;0.77693;0.77661;0.77693;0.77661;0.69563;0.75168;0.71486;0.70438;0.66891;0.75168	TP	
1b5t_A	No repeats found			
1b5t_B	No repeats found			
1b5t_C	No repeats found			
1b89_A	No repeats found			
1b9t_A	No repeats found			
1b9x_A	No repeats found			
1b9y_A	No repeats found			
1ba7_A	No repeats found			
1bcw_A	No repeats found			
1bd8_A	No repeats found			
1bhe_A	No repeats found			
1bi7_B	110-134;12-43;44-70;71-109	0.59745;0.78128;0.60039;0.78128	TP	
1bi8_B	No repeats found			
1bi8_D	No repeats found			
1bih_B	No repeats found			
1bk5_A	No repeats found			
1bk5_B	No repeats found			
1bk6_A	No repeats found			
1bk6_B	No repeats found			
1bks_A	No repeats found			
1blx_B	131-163;34-69;6-33;70-98;99-130	0.69331;0.57750;0.63645;0.70222;0.70222	TP	
1bn8_A	No repeats found			
1bqc_A	No repeats found			
1bu9_A	130-163;3-31;32-62;63-95;96-129	0.97643;0.94071;0.96604;0.98039;0.98039	TP	
1bwy_A	No repeats found			
1c1z_A	No repeats found			
1c5k_A	No repeats found			
1c9i_A	No repeats found			
1c9i_B	No repeats found			
1c9l_A	No repeats found			
1c9l_B	No repeats found			
1crz_A	No repeats found			
1cvm_A	No repeats found			
1cwv_A	No repeats found			
1czf_A	No repeats found			
1czf_B	No repeats found			
1d0b_A	168-189;190-211;212-233;102-123;124-145	0.76113;0.76145;0.72815;0.76145;0.71341	TP	
1d2p_A	No repeats found			
1d8d_A	111-144;145-182;213-250;251-289	0.81822;0.80475;0.81822;0.73984	TP	
1d8e_A	111-144;145-182;213-250;251-289	0.81968;0.79295;0.81968;0.73996	TP	
1dab_A	No repeats found			
1dbg_A	No repeats found			
1dcq_A	No repeats found			
1dfj_I	No repeats found			
1dl3_A	No repeats found			
1dl3_B	No repeats found			
1dlg_A	No repeats found			
1dlg_B	No repeats found			
1dm5_B	No repeats found			
1dm5_F	No repeats found			
1dvj_A	No repeats found			
1dvj_B	No repeats found			
1dvj_C	117-146;14-37;147-173;190-227;228-243;38-64;65-87;88-116	0.35312;0.54144;0.60297;0.58907;0.61891;0.41168;0.61891;0.58927	TP	
1dvj_D	117-146;13-39;147-174;190-222;40-65;66-87;88-116	0.36311;0.43603;0.53252;0.47929;0.39190;0.47394;0.53252		
1dx5_K	No repeats found			
1dy7_A	No repeats found			
1e1a_A	No repeats found			
1e8n_A	No repeats found			
1ee4_A	No repeats found			
1ee4_B	No repeats found			
1ee5_A	No repeats found			
1ee6_A	115-140;141-164;15-49;165-185;50-70;71-91;92-114	0.55313;0.55313;0.38771;0.53101;0.36382;0.39267;0.45597		1-14;186-196
1eix_C	No repeats found			
1ejc_A	No repeats found			
1ejd_A	No repeats found			
1ejd_B	No repeats found			
1ejl_I	No repeats found			
1ejy_I	245-282;283-324;325-366;367-409;410-452;109-151;152-193	0.75490;0.85248;0.84088;0.80027;0.78730;0.86730;0.86730	TP	
1elk_A	No repeats found			
1elw_A	3-34;35-68;69-102	0.90944;0.90944;0.79637	TP	
1erj_A	No repeats found			
1erj_B	No repeats found			
1erj_C	No repeats found			
1eua_A	No repeats found			
1eua_B	No repeats found			
1eua_C	No repeats found			
1eun_A	No repeats found			
1eun_B	110-129;130-154;155-181;18-40;182-211;41-65;66-88;89-109	0.48027;0.43317;0.38824;0.49463;0.49463;0.46972;0.48027;0.44814		
1eun_C	108-129;130-154;155-181;18-40;182-211;41-65;66-88;89-107	0.45541;0.40736;0.38359;0.46410;0.46410;0.39764;0.45541;0.44810		
1eww_A	No repeats found			
1eyn_A	No repeats found			
1f6p_A	No repeats found			
1f73_D	11-74;133-184;210-246;75-132	0.58015;0.58779;0.49268;0.58779	TP	
1f9c_A	No repeats found			
1fbl_A	No repeats found			
1fch_A	347-380;381-429;430-465;466-499;500-534;535-578;579-599;313-346	0.83980;0.48711;0.77370;0.79869;0.79869;0.76872;0.38595;0.83980	TP	
1fch_B	347-380;381-429;430-465;466-499;500-533;534-578;579-599;313-346	0.83070;0.48013;0.75718;0.86908;0.86908;0.84100;;0.84770	TP	
1fdz_B	No repeats found			
1fj1_E	No repeats found			
1fj1_F	No repeats found			
1fn0_A	No repeats found			
1fnf_A	No repeats found			
1fnh_A	No repeats found			
1fpp_A	111-144;145-182;213-250;251-289	0.79428;0.79428;0.79236;0.72722	TP	
1fq0_A	No repeats found			
1fq0_B	No repeats found			
1fqv_A	No repeats found			
1fqv_C	No repeats found			
1fqv_E	No repeats found			
1fqv_G	No repeats found			
1fqv_I	No repeats found			
1fqv_K	No repeats found			
1fqv_M	No repeats found			
1fqv_O	No repeats found			
1fs2_A	No repeats found			
1fs2_C	No repeats found			
1ft1_A	111-144;145-182;214-250;251-289	0.81062;0.80466;0.81062;0.74731	TP	
1ft2_A	214-250;251-289;111-144;145-182	0.81628;0.73574;0.81628;0.78884	TP	
1ft4_A	No repeats found			
1fwr_A	No repeats found			
1fwr_B	No repeats found			
1fwr_C	No repeats found			
1fxj_B	252-272;273-290;291-307;308-324	0.37087;0.60065;0.74615;0.74615	TP	
1g3j_A	No repeats found			
1g3j_C	No repeats found			
1g3n_B	No repeats found			
1g3n_F	No repeats found			
1g4e_B	No repeats found			
1g4p_A	No repeats found			
1g4p_B	No repeats found			
1g4s_A	No repeats found			
1g4t_B	No repeats found			
1g61_A	No repeats found			
1g61_B	No repeats found			
1g62_A	No repeats found			
1g6c_A	No repeats found			
1g6s_A	No repeats found			
1g6t_A	No repeats found			
1g9u_A	No repeats found			
1gcj_A	No repeats found			
1gcj_B	No repeats found			
1geq_A	No repeats found			
1geq_B	No repeats found			
1gfn_A	No repeats found			
1gg2_B	No repeats found			
