1a0r_B	No repeats found		TP=0;FP=0
1a0t_P	No repeats found		TP=0;FP=0
1a0t_Q	No repeats found		TP=0;FP=0
1a12_A	No repeats found		TP=0;FP=0
1a12_B	No repeats found		TP=0;FP=0
1a12_C	No repeats found		TP=0;FP=0
1a17_A	27-58;59-92;93-126		TP=3;FP=0
1a18_A	No repeats found		TP=0;FP=0
1a1f_A	No repeats found		TP=0;FP=0
1a1g_A	No repeats found		TP=0;FP=0
1a1h_A	No repeats found		TP=0;FP=0
1a1i_A	No repeats found		TP=0;FP=0
1a1j_A	No repeats found		TP=0;FP=0
1a1k_A	No repeats found		TP=0;FP=0
1a1l_A	No repeats found		TP=0;FP=0
1a2n_A	No repeats found		TP=0;FP=0
1a4y_A	No repeats found		TP=0;FP=0
1a4y_D	No repeats found		TP=0;FP=0
1a9n_C	120-146;147-163;26-48;49-70;71-94;95-119		TP=5;FP=1
1ala_A	124-170;16-51;171-207;208-246;247-282;52-87;88-123		TP=7;FP=0
1anx_B	No repeats found		TP=0;FP=0
1aof_A	No repeats found		TP=0;FP=0
1aof_B	No repeats found		TP=0;FP=0
1aom_A	No repeats found		TP=0;FP=0
1aom_B	No repeats found		TP=0;FP=0
1aoq_B	No repeats found		TP=0;FP=0
1ap7_A	102-133;134-166;37-67;68-101;7-36		TP=5;FP=0
1avu_A	No repeats found		TP=0;FP=0
1avw_B	No repeats found		TP=0;FP=0
1aw1_E	No repeats found		TP=0;FP=0
1aw1_G	No repeats found		TP=0;FP=0
1aw1_J	No repeats found		TP=0;FP=0
1aw1_K	No repeats found		TP=0;FP=0
1aw2_E	No repeats found		TP=0;FP=0
1aw2_K	No repeats found		TP=0;FP=0
1awc_B	No repeats found		TP=0;FP=0
1b3u_A	116-154;155-196;197-238;275-317;318-359;360-398;439-473;474-514;515-553;554-587;84-115		TP=11;FP=0
1b3u_B	119-154;155-196;197-240;275-317;318-361;391-438;439-473;474-517;518-550;551-587;87-118		TP=11;FP=0
1b5t_A	No repeats found		TP=0;FP=0
1b5t_B	No repeats found		TP=0;FP=0
1b5t_C	No repeats found		TP=0;FP=0
1b89_A	No repeats found		TP=0;FP=0
1b9t_A	No repeats found		TP=0;FP=0
1b9x_A	No repeats found		TP=0;FP=0
1b9y_A	No repeats found		TP=0;FP=0
1ba7_A	No repeats found		TP=0;FP=0
1bcw_A	No repeats found		TP=0;FP=0
1bd8_A	No repeats found		TP=0;FP=0
1bhe_A	No repeats found		TP=0;FP=0
1bi7_B	110-134;12-43;44-70;71-109		TP=4;FP=0
1bi8_B	No repeats found		TP=0;FP=0
1bi8_D	No repeats found		TP=0;FP=0
1bih_B	No repeats found		TP=0;FP=0
1bk5_A	No repeats found		TP=0;FP=0
1bk5_B	No repeats found		TP=0;FP=0
1bk6_A	No repeats found		TP=0;FP=0
1bk6_B	No repeats found		TP=0;FP=0
1bks_A	No repeats found		TP=0;FP=0
1blx_B	131-163;34-69;6-33;70-98;99-130		TP=5;FP=0
1bn8_A	No repeats found		TP=0;FP=0
1bqc_A	No repeats found		TP=0;FP=0
1bu9_A	130-163;3-31;32-62;63-95;96-129		TP=5;FP=0
1bwy_A	No repeats found		TP=0;FP=0
1c1z_A	No repeats found		TP=0;FP=0
1c5k_A	No repeats found		TP=0;FP=0
1c9i_A	No repeats found		TP=0;FP=0
1c9i_B	No repeats found		TP=0;FP=0
1c9l_A	No repeats found		TP=0;FP=0
1c9l_B	No repeats found		TP=0;FP=0
1crz_A	No repeats found		TP=0;FP=0
1cvm_A	No repeats found		TP=0;FP=0
1cwv_A	No repeats found		TP=0;FP=0
1czf_A	No repeats found		TP=0;FP=0
1czf_B	No repeats found		TP=0;FP=0
1d0b_A	168-189;190-211;212-233;102-123;124-145		TP=5;FP=0
1d2p_A	No repeats found		TP=0;FP=0
1d8d_A	111-144;145-182;213-250;251-289		TP=4;FP=0
1d8e_A	111-144;145-182;213-250;251-289		TP=4;FP=0
1dab_A	No repeats found		TP=0;FP=0
1dbg_A	No repeats found		TP=0;FP=0
1dcq_A	No repeats found		TP=0;FP=0
1dfj_I	No repeats found		TP=0;FP=0
1dl3_A	No repeats found		TP=0;FP=0
1dl3_B	No repeats found		TP=0;FP=0
1dlg_A	No repeats found		TP=0;FP=0
1dlg_B	No repeats found		TP=0;FP=0
1dm5_B	No repeats found		TP=0;FP=0
1dm5_F	No repeats found		TP=0;FP=0
1dvj_A	No repeats found		TP=0;FP=0
